taxon	worms_id	worms_scientific_name	worms_is_terrestrial	worms_is_freshwater	worms_is_brackish	worms_is_marine	worms_lsid	worms_url
Buccinum rossicum Dall,1907	490846	Buccinum rossicum				True	urn:lsid:marinespecies.org:taxname:490846	http://www.marinespecies.org/aphia.php?p=taxdetails&id=490846
Odostomia glabrata Forbes & Hanley, 1850	140993	Odostomia glabrata				True	urn:lsid:marinespecies.org:taxname:140993	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140993
Favartia poormani Radwin & D'Attilio, 1976	408763	Favartia poormani	False	False	False	True	urn:lsid:marinespecies.org:taxname:408763	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408763
Conus proximus cebuensis Wils, 1990	429153	Conus proximus cebuensis				True	urn:lsid:marinespecies.org:taxname:429153	http://www.marinespecies.org/aphia.php?p=taxdetails&id=429153
Domecia sp.	106944	Domecia				True	urn:lsid:marinespecies.org:taxname:106944	http://www.marinespecies.org/aphia.php?p=taxdetails&id=106944
Eulimella acicula (Philippi, 1836)n	140942	Eulimella acicula	False	False	False	True	urn:lsid:marinespecies.org:taxname:140942	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140942
Gymnura micrura (Bloch & Schneider, 1801)	158529	Gymnura micrura	False	False	True	True	urn:lsid:marinespecies.org:taxname:158529	http://www.marinespecies.org/aphia.php?p=taxdetails&id=158529
Strombus labiatus olydius Duclos, 1844	223882	Strombus labiatus olydius				True	urn:lsid:marinespecies.org:taxname:223882	http://www.marinespecies.org/aphia.php?p=taxdetails&id=223882
Ziziphinus scitulus Adams, 1855	467421	Ziziphinus scitulus				True	urn:lsid:marinespecies.org:taxname:467421	http://www.marinespecies.org/aphia.php?p=taxdetails&id=467421
Spondylus spinosus Schreibers, 1793	141552	Spondylus spinosus				True	urn:lsid:marinespecies.org:taxname:141552	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141552
Ostrea cf. dorsata Deshayes	138298	Ostrea				True	urn:lsid:marinespecies.org:taxname:138298	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138298
Fissurella menkeana Dunker, 1846	848260	Fissurella menkeana				True	urn:lsid:marinespecies.org:taxname:848260	http://www.marinespecies.org/aphia.php?p=taxdetails&id=848260
Elaphoidella Chappuis, 1928	347106	Elaphoidella		True			urn:lsid:marinespecies.org:taxname:347106	http://www.marinespecies.org/aphia.php?p=taxdetails&id=347106
Saxicavella Fischer, 1878	138071	Saxicavella				True	urn:lsid:marinespecies.org:taxname:138071	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138071
Prototyphis angasi (Crosse, 1863)	405944	Prototyphis angasi				True	urn:lsid:marinespecies.org:taxname:405944	http://www.marinespecies.org/aphia.php?p=taxdetails&id=405944
Larus scopulinus Forster, 1844	225913	Larus scopulinus				True	urn:lsid:marinespecies.org:taxname:225913	http://www.marinespecies.org/aphia.php?p=taxdetails&id=225913
Macromphalina dautzenbergi Adam & Knudsen, 1969	224704	Macromphalina dautzenbergi				True	urn:lsid:marinespecies.org:taxname:224704	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224704
Chicoreus damicornis (Hedley, 1903)	558807	Chicoreus damicornis				True	urn:lsid:marinespecies.org:taxname:558807	http://www.marinespecies.org/aphia.php?p=taxdetails&id=558807
Macrophiothrix propinqua (Lyman, 1862)	213198	Macrophiothrix propinqua	False	False	False	True	urn:lsid:marinespecies.org:taxname:213198	http://www.marinespecies.org/aphia.php?p=taxdetails&id=213198
Pallenopsis spicata Hodgson, 1915	240268	Pallenopsis spicata	False	False	False	True	urn:lsid:marinespecies.org:taxname:240268	http://www.marinespecies.org/aphia.php?p=taxdetails&id=240268
Anarhynchus frontalis Quoy & Gaimard, 1830	366856	Anarhynchus frontalis				True	urn:lsid:marinespecies.org:taxname:366856	http://www.marinespecies.org/aphia.php?p=taxdetails&id=366856
Pluvialis fulva (Gmelin, 1789)	232044	Pluvialis fulva				True	urn:lsid:marinespecies.org:taxname:232044	http://www.marinespecies.org/aphia.php?p=taxdetails&id=232044
Lovenella assimilis (Browne, 1905)	221220	Lovenella assimilis	False	False		True	urn:lsid:marinespecies.org:taxname:221220	http://www.marinespecies.org/aphia.php?p=taxdetails&id=221220
Glyphostoma melanoxytum Hervier, 1896	436361	Glyphostoma melanoxytum				True	urn:lsid:marinespecies.org:taxname:436361	http://www.marinespecies.org/aphia.php?p=taxdetails&id=436361
Mangelia attenuata (Montagu, 1803)	139265	Mangelia attenuata	False	False	False	True	urn:lsid:marinespecies.org:taxname:139265	http://www.marinespecies.org/aphia.php?p=taxdetails&id=139265
Muricopsis diadema (Aradas & Benoit, 1876)	408737	Muricopsis diadema				True	urn:lsid:marinespecies.org:taxname:408737	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408737
Arbacia lixula africana (Troschel, 1873)	513707	Arbacia lixula africana	False	False	False	True	urn:lsid:marinespecies.org:taxname:513707	http://www.marinespecies.org/aphia.php?p=taxdetails&id=513707
Malea ringens (Swainson, 1822)	410241	Malea ringens				True	urn:lsid:marinespecies.org:taxname:410241	http://www.marinespecies.org/aphia.php?p=taxdetails&id=410241
Murexsul zeteki (Hertlein & Strong, 1951)	407907	Murexsul zeteki				True	urn:lsid:marinespecies.org:taxname:407907	http://www.marinespecies.org/aphia.php?p=taxdetails&id=407907
Tubiola cutleriana Hoisaeter, 1968	866047	Tubiola cutleriana				True	urn:lsid:marinespecies.org:taxname:866047	http://www.marinespecies.org/aphia.php?p=taxdetails&id=866047
Reptadeonella violacea (Johnston, 1847)	111061	Reptadeonella violacea	False	False	False	True	urn:lsid:marinespecies.org:taxname:111061	http://www.marinespecies.org/aphia.php?p=taxdetails&id=111061
Haliotis elegans Philippi, 1844	445323	Haliotis elegans				True	urn:lsid:marinespecies.org:taxname:445323	http://www.marinespecies.org/aphia.php?p=taxdetails&id=445323
Gari weinkauffi (Crosse, 1864)	820394	Gari weinkauffi				True	urn:lsid:marinespecies.org:taxname:820394	http://www.marinespecies.org/aphia.php?p=taxdetails&id=820394
Petrolisthes politus (Gray, 1831)	421877	Petrolisthes politus				True	urn:lsid:marinespecies.org:taxname:421877	http://www.marinespecies.org/aphia.php?p=taxdetails&id=421877
Silicularia rosea Meyen, 1834	225738	Silicularia rosea	False			True	urn:lsid:marinespecies.org:taxname:225738	http://www.marinespecies.org/aphia.php?p=taxdetails&id=225738
Anas platalea Vieillot, 1816	225964	Anas platalea		True		False	urn:lsid:marinespecies.org:taxname:225964	http://www.marinespecies.org/aphia.php?p=taxdetails&id=225964
Catoptrophorus semipalmatus (Gmelin, 1848)	159032	Catoptrophorus semipalmatus				True	urn:lsid:marinespecies.org:taxname:159032	http://www.marinespecies.org/aphia.php?p=taxdetails&id=159032
Pisania decollata Sowerby, 1833	491248	Pisania decollata				True	urn:lsid:marinespecies.org:taxname:491248	http://www.marinespecies.org/aphia.php?p=taxdetails&id=491248
Orania mixta Houart, 1995	408201	Orania mixta				True	urn:lsid:marinespecies.org:taxname:408201	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408201
Hebella scandens (Bale, 1888)	117699	Hebella scandens				True	urn:lsid:marinespecies.org:taxname:117699	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117699
Dolium perdix Linnaeus, 1758	215040	Dolium perdix				True	urn:lsid:marinespecies.org:taxname:215040	http://www.marinespecies.org/aphia.php?p=taxdetails&id=215040
Terebra taurinus (Lightfoot, 1786)	447646	Terebra taurinus				True	urn:lsid:marinespecies.org:taxname:447646	http://www.marinespecies.org/aphia.php?p=taxdetails&id=447646
Fasciolaria granosa Broderip, 1832	449673	Fasciolaria granosa				True	urn:lsid:marinespecies.org:taxname:449673	http://www.marinespecies.org/aphia.php?p=taxdetails&id=449673
Muricanthus nigritus Philippi, 1845	406197	Muricanthus nigritus				True	urn:lsid:marinespecies.org:taxname:406197	http://www.marinespecies.org/aphia.php?p=taxdetails&id=406197
Neritopsis sp.	205588	Neritopsis	False	False	False	True	urn:lsid:marinespecies.org:taxname:205588	http://www.marinespecies.org/aphia.php?p=taxdetails&id=205588
Aetomylaeus maculatus (Gray, 1834)	217428	Aetomylaeus maculatus	False	False	True	True	urn:lsid:marinespecies.org:taxname:217428	http://www.marinespecies.org/aphia.php?p=taxdetails&id=217428
Ozius truncatus H. Milne Edwards, 1834	440521	Ozius truncatus				True	urn:lsid:marinespecies.org:taxname:440521	http://www.marinespecies.org/aphia.php?p=taxdetails&id=440521
Cytherelloidea interpunctata Malz & Jellinek, 1989	459952	Cytherelloidea interpunctata	False			True	urn:lsid:marinespecies.org:taxname:459952	http://www.marinespecies.org/aphia.php?p=taxdetails&id=459952
Crassostrea virginica (Gmelin, 1791)	140657	Crassostrea virginica				True	urn:lsid:marinespecies.org:taxname:140657	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140657
Nemertesia indivisa (Allman, 1883)	285188	Nemertesia indivisa	False	False		True	urn:lsid:marinespecies.org:taxname:285188	http://www.marinespecies.org/aphia.php?p=taxdetails&id=285188
Lepeophtheirus salmonis (Kroyer, 1837)	135782	Lepeophtheirus salmonis	False	False	True	True	urn:lsid:marinespecies.org:taxname:135782	http://www.marinespecies.org/aphia.php?p=taxdetails&id=135782
Mitra rossiae Reeve, 1844	590544	Mitra rossiae	False	False	False	True	urn:lsid:marinespecies.org:taxname:590544	http://www.marinespecies.org/aphia.php?p=taxdetails&id=590544
Parechinus angulosus (Leske, 1778)	220995	Parechinus angulosus	False	False	False	True	urn:lsid:marinespecies.org:taxname:220995	http://www.marinespecies.org/aphia.php?p=taxdetails&id=220995
Retepora frigida Waters, 1904	736497	Retepora frigida	False	False	False	True	urn:lsid:marinespecies.org:taxname:736497	http://www.marinespecies.org/aphia.php?p=taxdetails&id=736497
Lepidopleurus juvenis E. Leloup, 1977	387036	Lepidopleurus juvenis				True	urn:lsid:marinespecies.org:taxname:387036	http://www.marinespecies.org/aphia.php?p=taxdetails&id=387036
Acanthostepheia behringiensis (Lockington, 1877)	102862	Acanthostepheia behringiensis	False	False	False	True	urn:lsid:marinespecies.org:taxname:102862	http://www.marinespecies.org/aphia.php?p=taxdetails&id=102862
Thyone serratus Britten, 1910	210691	Thyone serratus	False	False	False	True	urn:lsid:marinespecies.org:taxname:210691	http://www.marinespecies.org/aphia.php?p=taxdetails&id=210691
Conus natalis Sowerby, 1857	215461	Conus natalis				True	urn:lsid:marinespecies.org:taxname:215461	http://www.marinespecies.org/aphia.php?p=taxdetails&id=215461
Spirotropis centimata (Dall, 1889)	420314	Spirotropis centimata				True	urn:lsid:marinespecies.org:taxname:420314	http://www.marinespecies.org/aphia.php?p=taxdetails&id=420314
Homalocantha fauroti Jousseaume, 1888	217160	Homalocantha fauroti				True	urn:lsid:marinespecies.org:taxname:217160	http://www.marinespecies.org/aphia.php?p=taxdetails&id=217160
Weyprechtia pinguis Krøyer 1838	102315	Weyprechtia pinguis				True	urn:lsid:marinespecies.org:taxname:102315	http://www.marinespecies.org/aphia.php?p=taxdetails&id=102315
Schizomavella linearis (Hassall, 1841)	111099	Schizomavella linearis	False	False	False	True	urn:lsid:marinespecies.org:taxname:111099	http://www.marinespecies.org/aphia.php?p=taxdetails&id=111099
Hydrobia acuta (Draparnaud, 1805)	140123	Hydrobia acuta	False		True	False	urn:lsid:marinespecies.org:taxname:140123	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140123
Tapholeon sp.	149984	Tapholeon	False	False	False	True	urn:lsid:marinespecies.org:taxname:149984	http://www.marinespecies.org/aphia.php?p=taxdetails&id=149984
Heterocerus maritimus (Guérin-Méneville, 1844)	150833	Heterocerus maritimus	True			True	urn:lsid:marinespecies.org:taxname:150833	http://www.marinespecies.org/aphia.php?p=taxdetails&id=150833
Physeter catodon Linnaeus, 1758	137118	Physeter catodon				True	urn:lsid:marinespecies.org:taxname:137118	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137118
Callorhinus ursinus (Linnaeus, 1758)	254997	Callorhinus ursinus				True	urn:lsid:marinespecies.org:taxname:254997	http://www.marinespecies.org/aphia.php?p=taxdetails&id=254997
Paracucumaria deridderae Massin, 1993	148781	Paracucumaria deridderae	False	False	False	True	urn:lsid:marinespecies.org:taxname:148781	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148781
Rissoa proxima Alder	607386	Rissoa proxima				True	urn:lsid:marinespecies.org:taxname:607386	http://www.marinespecies.org/aphia.php?p=taxdetails&id=607386
Hydrocoryne miurensis Stechow, 1907	290164	Hydrocoryne miurensis	False			True	urn:lsid:marinespecies.org:taxname:290164	http://www.marinespecies.org/aphia.php?p=taxdetails&id=290164
Livonia mammilla (G. B. Sowerby I, 1844)	384829	Livonia mammilla				True	urn:lsid:marinespecies.org:taxname:384829	http://www.marinespecies.org/aphia.php?p=taxdetails&id=384829
Amphipoda sp.1096	1135	Amphipoda	True	True	True	True	urn:lsid:marinespecies.org:taxname:1135	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1135
Bulimus variegatus Pfeiffer,	716817	Bulimus variegatus				True	urn:lsid:marinespecies.org:taxname:716817	http://www.marinespecies.org/aphia.php?p=taxdetails&id=716817
Conus kawamurai Habe, 1962	428991	Conus kawamurai				True	urn:lsid:marinespecies.org:taxname:428991	http://www.marinespecies.org/aphia.php?p=taxdetails&id=428991
Cypraea thomasi Crosse, 1825	216831	Cypraea thomasi	False	False	False	True	urn:lsid:marinespecies.org:taxname:216831	http://www.marinespecies.org/aphia.php?p=taxdetails&id=216831
Assiminea nitida (Pease, 1865)	736294	Assiminea nitida	False	True	True	False	urn:lsid:marinespecies.org:taxname:736294	http://www.marinespecies.org/aphia.php?p=taxdetails&id=736294
Barleeia lindae Rolan & Swinnen, 2004	1023234	Barleeia lindae				True	urn:lsid:marinespecies.org:taxname:1023234	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1023234
Trachydrillia denizi Nolf & Swinnen, 2010	564021	Trachydrillia denizi				True	urn:lsid:marinespecies.org:taxname:564021	http://www.marinespecies.org/aphia.php?p=taxdetails&id=564021
Anomia sp.	137650	Anomia				True	urn:lsid:marinespecies.org:taxname:137650	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137650
Alvania calathus Forbes & Hanley, 1853	527635	Alvania calathus				True	urn:lsid:marinespecies.org:taxname:527635	http://www.marinespecies.org/aphia.php?p=taxdetails&id=527635
Nassarius smitsorum Kool, 1990	577412	Nassarius smitsorum	False	False		True	urn:lsid:marinespecies.org:taxname:577412	http://www.marinespecies.org/aphia.php?p=taxdetails&id=577412
Modulus catenulatus (Philippi, 1849)	571056	Modulus catenulatus				True	urn:lsid:marinespecies.org:taxname:571056	http://www.marinespecies.org/aphia.php?p=taxdetails&id=571056
Socarnopsis sp.	101654	Socarnopsis				True	urn:lsid:marinespecies.org:taxname:101654	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101654
Engina incarnata (Deshayes, 1834)	212162	Engina incarnata				True	urn:lsid:marinespecies.org:taxname:212162	http://www.marinespecies.org/aphia.php?p=taxdetails&id=212162
Crassostrea columbiensis (Hanley, 1846)	506703	Crassostrea columbiensis				True	urn:lsid:marinespecies.org:taxname:506703	http://www.marinespecies.org/aphia.php?p=taxdetails&id=506703
Kirchenpaueria pinnata (Linnaeus, 1758)	117674	Kirchenpaueria pinnata				True	urn:lsid:marinespecies.org:taxname:117674	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117674
Tectarius tectumpersicum (Linnaeus, 1758)	446942	Tectarius tectumpersicum				True	urn:lsid:marinespecies.org:taxname:446942	http://www.marinespecies.org/aphia.php?p=taxdetails&id=446942
Pinnotheres pisum (Linnaeus, 1767)	107473	Pinnotheres pisum				True	urn:lsid:marinespecies.org:taxname:107473	http://www.marinespecies.org/aphia.php?p=taxdetails&id=107473
Conus angioiorum Röckel & Moolenbeek, 1972	426321	Conus angioiorum				True	urn:lsid:marinespecies.org:taxname:426321	http://www.marinespecies.org/aphia.php?p=taxdetails&id=426321
Scorpaena scrofa Linnaeus, 1758	127248	Scorpaena scrofa	False	False	True	True	urn:lsid:marinespecies.org:taxname:127248	http://www.marinespecies.org/aphia.php?p=taxdetails&id=127248
Setia turriculata Monterosato, 1884	195910	Setia turriculata				True	urn:lsid:marinespecies.org:taxname:195910	http://www.marinespecies.org/aphia.php?p=taxdetails&id=195910
Conus vimineus Reeve, 1849	428403	Conus vimineus				True	urn:lsid:marinespecies.org:taxname:428403	http://www.marinespecies.org/aphia.php?p=taxdetails&id=428403
Ovula ishibashii (Kuroda, 1928)	431064	Ovula ishibashii				True	urn:lsid:marinespecies.org:taxname:431064	http://www.marinespecies.org/aphia.php?p=taxdetails&id=431064
Bulla trifasciata Sowerby, 1868	510404	Bulla trifasciata				True	urn:lsid:marinespecies.org:taxname:510404	http://www.marinespecies.org/aphia.php?p=taxdetails&id=510404
Scalaria trevelyana Johnston, 1841	744165	Scalaria trevelyana				True	urn:lsid:marinespecies.org:taxname:744165	http://www.marinespecies.org/aphia.php?p=taxdetails&id=744165
Astralium haematragum (Menke, 1829)	413387	Astralium haematragum				True	urn:lsid:marinespecies.org:taxname:413387	http://www.marinespecies.org/aphia.php?p=taxdetails&id=413387
Iphimediella dominici Coleman, 1996	237132	Iphimediella dominici	False	False	False	True	urn:lsid:marinespecies.org:taxname:237132	http://www.marinespecies.org/aphia.php?p=taxdetails&id=237132
Donax punctatostriatus Hanley, 1843	494720	Donax punctatostriatus				True	urn:lsid:marinespecies.org:taxname:494720	http://www.marinespecies.org/aphia.php?p=taxdetails&id=494720
Eudyptes chrysocome (Sibley and Monroe 1990)	212657	Eudyptes chrysocome				True	urn:lsid:marinespecies.org:taxname:212657	http://www.marinespecies.org/aphia.php?p=taxdetails&id=212657
Triton sp.	205421	Triton	False	False	False	True	urn:lsid:marinespecies.org:taxname:205421	http://www.marinespecies.org/aphia.php?p=taxdetails&id=205421
Barleeia unifasciata (Montagu, 1803)	138843	Barleeia unifasciata				True	urn:lsid:marinespecies.org:taxname:138843	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138843
Homalopoma sp.	138605	Homalopoma				True	urn:lsid:marinespecies.org:taxname:138605	http://www.marinespecies.org/aphia.php?p=taxdetails&id=138605
Vallentinia gabriellae Vannucci-Mendez, 1948	291273	Vallentinia gabriellae	False	False		True	urn:lsid:marinespecies.org:taxname:291273	http://www.marinespecies.org/aphia.php?p=taxdetails&id=291273
Pleuromamma abdominalis (Lubbock, 1856)	104637	Pleuromamma abdominalis	False	False	False	True	urn:lsid:marinespecies.org:taxname:104637	http://www.marinespecies.org/aphia.php?p=taxdetails&id=104637
Nuttallochiton mirandus (Thiele, 1906)	386365	Nuttallochiton mirandus				True	urn:lsid:marinespecies.org:taxname:386365	http://www.marinespecies.org/aphia.php?p=taxdetails&id=386365
Conus caracteristicus Fischer, 1807	426443	Conus caracteristicus				True	urn:lsid:marinespecies.org:taxname:426443	http://www.marinespecies.org/aphia.php?p=taxdetails&id=426443
Conus clerii Reeve, 1844	426457	Conus clerii				True	urn:lsid:marinespecies.org:taxname:426457	http://www.marinespecies.org/aphia.php?p=taxdetails&id=426457
Leucosia craniolaris (Linnaeus, 1758)	441377	Leucosia craniolaris				True	urn:lsid:marinespecies.org:taxname:441377	http://www.marinespecies.org/aphia.php?p=taxdetails&id=441377
Tonicia horniana de Rocheburne, 1889	386332	Tonicia horniana				True	urn:lsid:marinespecies.org:taxname:386332	http://www.marinespecies.org/aphia.php?p=taxdetails&id=386332
Heterodontus francisci (Girard, 1854)	276694	Heterodontus francisci	False	False	False	True	urn:lsid:marinespecies.org:taxname:276694	http://www.marinespecies.org/aphia.php?p=taxdetails&id=276694
Clupeonella grimmi Kessler, 1877	272259	Clupeonella grimmi	False	False	True	False	urn:lsid:marinespecies.org:taxname:272259	http://www.marinespecies.org/aphia.php?p=taxdetails&id=272259
Patella pallida Gould, 1859	715287	Patella pallida				True	urn:lsid:marinespecies.org:taxname:715287	http://www.marinespecies.org/aphia.php?p=taxdetails&id=715287
Kellia symmetros Jeffreys, 1876	595566	Kellia symmetros				True	urn:lsid:marinespecies.org:taxname:595566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=595566
Scalaria australis Lamarck, 1822	525029	Scalaria australis				True	urn:lsid:marinespecies.org:taxname:525029	http://www.marinespecies.org/aphia.php?p=taxdetails&id=525029
Spisula subtruncata (Da Costa, 1778)	140302	Spisula subtruncata				True	urn:lsid:marinespecies.org:taxname:140302	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140302
Cypraea helvola Linnaeus, 1758	216839	Cypraea helvola	False	False	False	True	urn:lsid:marinespecies.org:taxname:216839	http://www.marinespecies.org/aphia.php?p=taxdetails&id=216839
Bittium gemmatum (Watson, 1880)	987124	Bittium gemmatum				True	urn:lsid:marinespecies.org:taxname:987124	http://www.marinespecies.org/aphia.php?p=taxdetails&id=987124
Strombina carmencita Lowe, 1935	511786	Strombina carmencita				True	urn:lsid:marinespecies.org:taxname:511786	http://www.marinespecies.org/aphia.php?p=taxdetails&id=511786
Natica stercusmuscarum (Gmelin, 1791)	140547	Natica stercusmuscarum				True	urn:lsid:marinespecies.org:taxname:140547	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140547
Opacuincola troglodytes (Climo, 1974)	850957	Opacuincola troglodytes		True			urn:lsid:marinespecies.org:taxname:850957	http://www.marinespecies.org/aphia.php?p=taxdetails&id=850957
Dendostrea frons (Linnaeus, 1758)	420779	Dendostrea frons				True	urn:lsid:marinespecies.org:taxname:420779	http://www.marinespecies.org/aphia.php?p=taxdetails&id=420779
Fejervarya cancrivora (Gravenhorst, 1829)	448309	Fejervarya cancrivora		True	True	False	urn:lsid:marinespecies.org:taxname:448309	http://www.marinespecies.org/aphia.php?p=taxdetails&id=448309
Orchestia macleyana Haswell, 1879	556091	Orchestia macleyana	True	False	True	True	urn:lsid:marinespecies.org:taxname:556091	http://www.marinespecies.org/aphia.php?p=taxdetails&id=556091
Smittia tripora Waters, 1904	968937	Smittia tripora				True	urn:lsid:marinespecies.org:taxname:968937	http://www.marinespecies.org/aphia.php?p=taxdetails&id=968937
Paradoxostoma sp.8	127662	Paradoxostoma	False			True	urn:lsid:marinespecies.org:taxname:127662	http://www.marinespecies.org/aphia.php?p=taxdetails&id=127662
Jujubinus elenchoides (Issel, 1878)	751176	Jujubinus elenchoides				True	urn:lsid:marinespecies.org:taxname:751176	http://www.marinespecies.org/aphia.php?p=taxdetails&id=751176
Megamoera sp.	101678	Megamoera				True	urn:lsid:marinespecies.org:taxname:101678	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101678
Diplodonta apicalis Philippi, 1836	141880	Diplodonta apicalis				True	urn:lsid:marinespecies.org:taxname:141880	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141880
Cucumaria grubei Marenzeller, 1874	124614	Cucumaria grubei	False	False	False	True	urn:lsid:marinespecies.org:taxname:124614	http://www.marinespecies.org/aphia.php?p=taxdetails&id=124614
Nassaria spinigera (Hayashi & Habe, 1965)	491148	Nassaria spinigera				True	urn:lsid:marinespecies.org:taxname:491148	http://www.marinespecies.org/aphia.php?p=taxdetails&id=491148
Ophiogymna fulgens (Koehler, 1905)	213394	Ophiogymna fulgens	False	False	False	True	urn:lsid:marinespecies.org:taxname:213394	http://www.marinespecies.org/aphia.php?p=taxdetails&id=213394
Palaemonetes varians  (Leach, 1814)	107624	Palaemonetes varians				True	urn:lsid:marinespecies.org:taxname:107624	http://www.marinespecies.org/aphia.php?p=taxdetails&id=107624
Acmaea sp.	137616	Acmaea				True	urn:lsid:marinespecies.org:taxname:137616	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137616
Conus surinamensis Hwass in Bruguière, 1792	430328	Conus surinamensis				True	urn:lsid:marinespecies.org:taxname:430328	http://www.marinespecies.org/aphia.php?p=taxdetails&id=430328
Iphinoe trispinosa (Goodsir, 1843)	110462	Iphinoe trispinosa	False			True	urn:lsid:marinespecies.org:taxname:110462	http://www.marinespecies.org/aphia.php?p=taxdetails&id=110462
Teredo malleolus Turton, 1822	531900	Teredo malleolus				True	urn:lsid:marinespecies.org:taxname:531900	http://www.marinespecies.org/aphia.php?p=taxdetails&id=531900
Cassiella abylensis Gofas, 1987	139058	Cassiella abylensis				True	urn:lsid:marinespecies.org:taxname:139058	http://www.marinespecies.org/aphia.php?p=taxdetails&id=139058
Menippe rudis A. Milne-Edwards, 1879	453958	Menippe rudis					urn:lsid:marinespecies.org:taxname:453958	http://www.marinespecies.org/aphia.php?p=taxdetails&id=453958
Chiton bowenii King & Broderip, 1831	386771	Chiton bowenii				True	urn:lsid:marinespecies.org:taxname:386771	http://www.marinespecies.org/aphia.php?p=taxdetails&id=386771
Neritina rugosa Van den Busch	873126	Neritina rugosa	False	True		False	urn:lsid:marinespecies.org:taxname:873126	http://www.marinespecies.org/aphia.php?p=taxdetails&id=873126
Urocythereis crenulosa (Terquem, 1878)	808007	Urocythereis crenulosa	False	False		True	urn:lsid:marinespecies.org:taxname:808007	http://www.marinespecies.org/aphia.php?p=taxdetails&id=808007
Diodora pileopsoides (Reeve, 1850)	766566	Diodora pileopsoides				True	urn:lsid:marinespecies.org:taxname:766566	http://www.marinespecies.org/aphia.php?p=taxdetails&id=766566
Ixa canaliculata  Leach, 1817	453513	Ixa canaliculata					urn:lsid:marinespecies.org:taxname:453513	http://www.marinespecies.org/aphia.php?p=taxdetails&id=453513
Gibbula albida (Gmelin, 1791)	141779	Gibbula albida				True	urn:lsid:marinespecies.org:taxname:141779	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141779
Rissoa grossa Michaud, 1832	750195	Rissoa grossa				True	urn:lsid:marinespecies.org:taxname:750195	http://www.marinespecies.org/aphia.php?p=taxdetails&id=750195
Cyathopoma straeleni Adam, 1987	1305050	Cyathopoma straeleni	True				urn:lsid:marinespecies.org:taxname:1305050	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1305050
Alaginella atracta (Tomlin, 1918)	409963	Alaginella atracta				True	urn:lsid:marinespecies.org:taxname:409963	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409963
Tricolia petiti (Craven, 1882)	224646	Tricolia petiti				True	urn:lsid:marinespecies.org:taxname:224646	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224646
Sesarma sp.	158457	Sesarma				True	urn:lsid:marinespecies.org:taxname:158457	http://www.marinespecies.org/aphia.php?p=taxdetails&id=158457
Turbo saxosus Wood, 1828	413422	Turbo saxosus				True	urn:lsid:marinespecies.org:taxname:413422	http://www.marinespecies.org/aphia.php?p=taxdetails&id=413422
Phaseolus pusillus (Jeffreys, 1879)	147090	Phaseolus pusillus				True	urn:lsid:marinespecies.org:taxname:147090	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147090
Aglaophenia harpago Von Schenck, 1965	117276	Aglaophenia harpago				True	urn:lsid:marinespecies.org:taxname:117276	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117276
Conus acutangulus Lamarck, 1810	215510	Conus acutangulus				True	urn:lsid:marinespecies.org:taxname:215510	http://www.marinespecies.org/aphia.php?p=taxdetails&id=215510
Serpulidae sp.	988	Serpulidae	False	True	True	True	urn:lsid:marinespecies.org:taxname:988	http://www.marinespecies.org/aphia.php?p=taxdetails&id=988
Spisula solidissima (Dillwyn, 1817)	156996	Spisula solidissima				True	urn:lsid:marinespecies.org:taxname:156996	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156996
Aulopus filamentosus  (Bloch, 1792)	126335	Aulopus filamentosus	False	False	False	True	urn:lsid:marinespecies.org:taxname:126335	http://www.marinespecies.org/aphia.php?p=taxdetails&id=126335
Fissurellidea aperta Sowerby, 1825	599734	Fissurellidea aperta				True	urn:lsid:marinespecies.org:taxname:599734	http://www.marinespecies.org/aphia.php?p=taxdetails&id=599734
